Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
1000429386|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000321439|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000323471|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000429386|LENOVO X (UNITED STATES) INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000372759|JUNIPER NE|AUSTRALIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000413143|JUNIPER NE|AUSTRALIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000413143|JUNIPER|INDIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000378303|JUNIPER IN|INDIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000248217|JUNIPER NE|INDIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000378331|JUNIPER NE|NEW ZEALAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000435008|JUNIPER NE|SINGAPORE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000114360|JUNIPER NE|HONG KONG|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000434648|JUNIPER NE|HONG KONG|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000413143|JUNIPER NETWORKS INTERNATIONAL BV  |BELGIUM|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000376775|JUNIPER NETWORKS FRANCE            |FRANCE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000421800|JUNIPER NETWORKS SWITZERLAND GMBH  |SWITZERLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000367760|JUNIPER NETWORKS UK LIMITED        | United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
55000002126000595|JUNIPER NE|ARGENTINA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
09000003116|JUNIPER NE|COLOMBIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000407743|JUNIPER NE|PAKISTAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000114360|JUNIPER NETWORKS US INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000114360|JUNIPER NETWORKS  INC.|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
00738724811|RED HAT|AUSTRALIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R0036|RED HAT IN|INDIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000328269|RED HAT AS|INDONESIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R00129|RED HAT AS|MALAYSIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000403084|RED HAT NE|NEW ZEALAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R95651|RED HAT AS|PHILIPPINES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R314|RED HAT AS|SINGAPORE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000414394|RED HAT|SOUTH KOREA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R00007|RED HAT INDIA|SRI LANKA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R00154|RED HAT AS|THAILAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R00312|RED HAT AS|VIETNAM|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
R00069|RED HAT LI|HONG KONG|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
811387|RED HAT LI|AUSTRIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
000771|RED HAT LI|BULGARIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
331|RED HAT LI|CROATIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
206230|RED HAT LI|CYPRUS|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
F0171|RED HAT LI|Czech Republic|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
F0237|RED HAT LI|Czech Republic|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
0009358|RED HAT LI|GREECE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000180432|RED HAT LI|HUNGARY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
024481|RED HAT LI|ISRAEL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
Z412|RED HAT LI|POLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
010261|RED HAT LI|PORTUGAL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
F00063|RED HAT LI|ROMANIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
100000045|RED HAT LI|SERBIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000180432|RED HAT LIMITED                    |BELGIUM|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
K00222|RED HAT JAPAN INC|JAPAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
093902|RED HAT JAPAN INC|JAPAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
07069791|RED HAT BR|BRAZIL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000398152|RED HAT S|MEXICO|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000120951|RED HAT IN|Peru|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
F0000129|RED HAT LI|MOROCCO|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
F0056|RED HAT AS|PAKISTAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
001226|RED HAT LI|TURKEY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
200000|RED HAT LI|UNITED ARAB EMIRATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000120951|RED HAT INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000117560|RED HAT  INC.|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
A0023|AT&T COMMU|INDIA|N/A|IBM network|#3|||Nigel Yell   legin@us.ibm.com|Patricia Burch||
749932|MANPOWERGROUP CO.  LTD. |JAPAN|N/A|GIAMA : IAM Support|Identity & Access Management (*all)|41365||YOSHIKAWA  Masahito|FUJINO  Tetsuya||
IBM_IMP0120|exa Corporation|580 Harikawa-Machi  Saiwai-ku  212-8555  -   Japan|N/A|GIAMA : IAM Support|Identity & Access Management (*all)|42172||YOSHIKAWA  Masahito|FUJINO  Tetsuya||
100444|ADECCO LTD.|JAPAN|N/A|GIAMA : Infra Maintenance|Distributed Middleware  Databases  Servers and Storage Management|42856||YOSHIKAWA  Masahito|FUJINO  Tetsuya|CIC @Sendai|
250085|COMPUTER SCIENCE CO. LTD.|JAPAN|N/A|GIAMA : Infra Maintenance|Distributed Middleware  Databases  Servers and Storage Management|42856||YOSHIKAWA  Masahito|FUJINO  Tetsuya|CIC @Sendai|
450085|TOKYO COMPUTER SERVICE CO. LTD.|JAPAN|N/A|GIAMA : Infra Maintenance|Distributed Middleware  Databases  Servers and Storage Management|42856||YOSHIKAWA  Masahito|FUJINO  Tetsuya|CIC @Sendai|
900492|RYOYU SYSTEM BUSINESS|JAPAN|N/A|GIAMA : Infra Maintenance|Distributed Middleware  Databases  Servers and Storage Management|42856||YOSHIKAWA  Masahito|FUJINO  Tetsuya|CIC @Sendai|
IBM_IMP0040|IBM Canada Principal Management  Limited Partnership|3600 Steeles Avenue East Ontario L3R 9Z7  -   Canada|N/A|ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0041|IBM Canada Services Corp./Societe De Services IBM Canada Corp.|3600 Steeles Avenue East  A4 Markham Ontario L3R 9Z7  -   Canada|N/A|ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0038|IBM Canada Limited - IBM Canada Limitee|3600 Steeles Avenue East  Ontario L3R 9Z7  -   Canada|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0045|LGS GROUP CONSULTING CORPORATION/SOCIETE CONSEIL GROUPE LGS|1959 Upper Water Street  Suite 800  Halifax  B3J3N2  -   Canada|N/A|ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
1000258866|PERSISTENT|INDIA|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0046|Management CS LP|3600 Steeles Avenue East  Ontario L3R 9Z7  -   Canada|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0029|IBM Brasil-Industria  Maquinas e Servicos Limitada|Av. Pasteur  138/146  Botafogo  Rio de Janeiro  RJÿ22290-240  -   Brazil|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_EXP0013|IBM Ceska Republika  spol. s r.o.|V Parku 2294/4  148 00 Prague 4-Chodov  -  Czech Republic|N/A|ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_EXP0064|IBM Ireland Limited|IBM House  Shelbourne Road  Ballsbridge  Dublin 4  -  Ireland|N/A|SAT+ASP|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0039|IBM Canada Management  Limited Partnership|3600 Steeles Avenue East Ontario L3R 9Z7  -   Canada|N/A|SAT|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
IBM_IMP0042|IBM World Trade Americas Holding ULC|1959 Upper Water Street  Suite 900  Halifax  B3J2X2  -   Canada|N/A|SAT|Staff|42005|36525|Jason Auvenshine/Tucson/IBM|Jason Auvenshine/Tucson/IBM||
1000352795|SOLARWINDS SOFTWARE EUROPE LIMITED | United Kingdom|N/A|Solarwinds IPAM / NCM / NPM / NTM|Solarwinds Tool Suite includes 4 software components for network management - (1) IP Address Manager (IPAM); (2) Network Configuration Manager (NCM); (3) Network Performance Monitor (NPM); and (4) Network Topology Mapper (NTM).|||Ouyang  Tung|Ouyang  Tung||
1000164956|SOLARWINDS INC|UNITED STATES|N/A|Solarwinds IPAM / NCM / NPM / NTM|Solarwinds Tool Suite includes 4 software components for network management - (1) IP Address Manager (IPAM); (2) Network Configuration Manager (NCM); (3) Network Performance Monitor (NPM); and (4) Network Topology Mapper (NTM).|||Ouyang  Tung|Ouyang  Tung||
IBM_EXP0119|IBM Global Services Delivery Centre Polska Sp. z o.o.IBM Polska Business Services Sp. z o.o.|ul. Muchoborska 8  54-424 Wroc?awul. Krakowiakow 32  02 - 255 Warszawa  -  Poland|N/A|Subsystem Detection and Management Solution|System Operation|42736|46752|PRUSAK  PIOTR|KOTSIKAU  DZMITRY||
IBM_EXP0119|IBM Global Services Delivery Centre Polska Sp. z o.o.IBM Polska Business Services Sp. z o.o.|ul. Muchoborska 8  54-424 Wroc?awul. Krakowiakow 32  02 - 255 Warszawa  -  Poland|N/A||team from PL supporting the german tool owners with some administrative tasks. Which are administration of back end servers and database instance  performing user revalidation|40179||Andreas Jung|Andreas Jung||No
IBM_EXP0014|IBM Global Services Delivery Center Czech Republic s.r.o.|Technika 2995/21  Brno 61600  -  Czech Republic|N/A|EMEA - RCM|team from PL supporting the german tool owners with some administrative tasks for users of the database instance. User creation/deletion  granting/revoking privileges|43252||Andreas Jung|Andreas Jung|Only minimal business contact information of IBMers in scope.|No
IBM_EXP0150|IBM Schweiz AG|Vulkanstraáe 106  P.O. Box 8010  -  Switzerland|N/A|ITIM Banking|Identity & Access Management (*all)|||Alain Stehlin/Switzerland/IBM|Roman Kusak/Czech Republic/IBM|GDPR Assessment will very likely result in that GDPR readiness is not required for this instance and also tool will be updated to ISIM  which is GDPR ready|
C0600|CYBER-ARK|INDIA|N/A|CyberArk|Privileged Identity Management Support for the Product|42885|43250|Vandana R Lingala|Vandana R Lingala||
1000258866|PERSISTENT|INDIA|N/A|GIAMA - Global Identity & Access Management Automation|Identity & Access Management (*all)||43465|Alberto Mainieri/Costa Rica/IBM|||
1000359284|PERSISTENT SYSTEMS INC|UNITED STATES|N/A|GIAMA - Global Identity & Access Management Automation|Identity & Access Management (*all)||43465|Alberto Mainieri/Costa Rica/IBM|||
1000258866|PERSISTENT SYSTEMS LIMITED|UNITED STATES|N/A|GIAMA - Global Identity & Access Management Automation|Identity & Access Management (*all)||43465|Alberto Mainieri/Costa Rica/IBM|||
IBM_EXP0036|IBM Deutschland Business & Technology Services GmbH|IBM-Allee 1  71139 Ehningen   -  Germany|N/A|GSNI|Identity & Access Management (*all)|||Hermann Kaiser/Germany/IBM|Andrea Marckmann/Germany/IBM|Master Replic of Application is hosted in Germany  GSNI LDAP application slaves are placed worldwide. Some support from Germany|
IBM_EXP0014|IBM Global Services Delivery Center Czech Republic s.r.o.|Technika 2995/21  Brno 61600  -  Czech Republic|N/A|GSNI|Identity & Access Management (*all)|||Hermann Kaiser/Germany/IBM|Andrea Marckmann/Germany/IBM|Support Team (Helpdesk  installation) of GNSI LDAP slaves|
IBM_EXP0039|IBM Deutschland Customer Support Services GmbH|Nahmitzer Damm 12  12227 Berlin   -  Germany|N/A|GSNI|Identity & Access Management (*all)|||Hermann Kaiser/Germany/IBM|Andrea Marckmann/Germany/IBM|Support for GSNI|
IBM_EXP0024|IBM Europe|17 avenue de l?Europe   92275 Bois-Colombes Cedexÿ  -  France|N/A|AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Application hosted in France  supported by different europe teams. ISIM  application itself has no vendors.|
IBM_EXP0024|IBM Europe|17 avenue de l?Europe   92275 Bois-Colombes Cedexÿ  -  France|N/A|SSIM|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Application hosted in France  supported by different europe teams. ISIM  application itself has no vendors.|
IBM_EXP0014|IBM Global Services Delivery Center Czech Republic s.r.o.|Technika 2995/21  Brno 61600  -  Czech Republic|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
IBM_EXP0036|IBM Deutschland Business & Technology Services GmbH|IBM-Allee 1  71139 Ehningen   -  Germany|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
IBM_EXP0154|IBM Services Centre UK Limited|76 Upper Ground  London  SE1 9PZ  -  United Kingdom|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
not listed|IBM CIC Hungary|Hungary|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
C0600|CYBER-ARK|INDIA|N/A|CyberArk|Privileged Identity Management Support for the Product|42885|43250|Vandana R Lingala|Vandana R Lingala||
1000416540|IBA Group a.s.|Czech Republic|N/A|EMEA - USC|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|33970|55153|Marc Charreire|Pierre-Yves Eugene|USC development  team|
IBM_EXP0057|IBM Data Storage Systems Information Technology LLC|De kv ri fasor 16 -? 18 2600 V c  -  Hungary|N/A|Enterprise Compliance Management (ECM) Instances: AG  EMEA  AP|Integrated Service and Support Management |||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|ECM tool support for AG  AP and EMEA instances.|
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|Enterprise Compliance Management (ECM) Instances: AP  India|Integrated Service and Support Management |||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|ECM tool support for AP and India instances.|
IBM_EXP0057|IBM Data Storage Systems Information Technology LLC|De kv ri fasor 16 -? 18 2600 V c  -  Hungary|N/A|Enterprise Compliance Management (ECM) EMEA prod instance|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|Server/Database support for EMEA Montpellier server|
03341093|AT&T GLOBA|BRAZIL|N/A|UAT (User Administration Tool) ? Shared Instance|Managed Network Services|39448||Victor Oliveira Almeida|Frederico Durigon Marques||
7003819|AT&T GLOBA|NEW ZEALAND|N/A|UAT (User Administration Tool) ? ANZ Instance|Managed Network Services|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
1000195612|AT&T|UNITED STATES|N/A|UAT (User Administration Tool) ? US & CA Instances|Managed Network Services|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0032|Softlayer Technologies do Brasil Ltda.|Rua Presbitero Plinio Alves De Souza  n. 757  Bairro Medeiros  Jundiai  13212-181  -   Brazil|N/A|UAT (User Administration Tool) ? Shared Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|43189||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|UAT (User Administration Tool) ? US Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|UAT (User Administration Tool) ? ANZ Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|UAT (User Administration Tool) ? ANZ & Shared Instances|Systems Management Operations (SMO)|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
