<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-98Q|6943-17A  6948-90G|MCCS-Service Desk; Workplace Support Services|||Abhishek Bhatgain|Abhishek Bhatgain|Deskside
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-98V|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/6/2016||Vishal Joshi|Vishal Joshi|WSSwW
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15M|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/6/2016||Vishal Joshi|Vishal Joshi|WSSwW
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15W|6943-17A  6948-90G|MCCS-Service Desk; Workplace Support Services|||Abhishek Bhatgain|Abhishek Bhatgain|Deskside
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-52N|iBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-98Q|6943-17A  6948-90G|MCCS-Service Desk; Workplace Support Services|||Abhishek Bhatgain|Abhishek Bhatgain|Deskside
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-98V|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/7/2016||Vishal Joshi|Vishal Joshi|WSSwW
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15M|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/7/2016||Vishal Joshi|Vishal Joshi|WSSwW
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15W|6943-17A  6948-90G|MCCS-Service Desk; Workplace Support Services|||Abhishek Bhatgain|Abhishek Bhatgain|Deskside
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-52N|IBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|1/1/2008|12/31/2050|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-15Y|6948-52N|iBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|1/1/2008|12/31/2050|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6950-15Y|6948-52N|IBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6950-15Y|6948-52N|IBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|1/1/2008|12/31/2050|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-15Y|6948-52N|iBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100912 - this is for IBM cloud (Softlayer POD s) . Customer can select any available POD
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straße 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|1/1/2008|12/31/2050|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0032|Softlayer Technologies do Brasil Ltda.|Rua Presbitero Plinio Alves De Souza  n. 757  Bairro Medeiros  Jundiai  13212-181  -   Brazil|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
IBM_IMP0032|Softlayer Technologies do Brasil Ltda.|Rua Presbitero Plinio Alves De Souza  n. 757  Bairro Medeiros  Jundiai  13212-181  -   Brazil|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|PID00100671 - Entity will be selected based on customer requirements and location      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
